Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Verda Bio,https://www.crunchbase.com/organization/verda-bio,Biotechnology,"Seattle, Washington, United States",Verda Bio is bringing transformative change to research and healhcare.,info@verdabio.com,(855)483-7322,http://verdabio.com/,For Profit,1,Seed,"$545,000",2016-09-28,Seed,"$545,000","Biotechnology, Science and Engineering",Private
Diffinity Genomics,https://www.crunchbase.com/organization/diffinity-genomics,"Biotechnology, Health Care, Life Science","West Henrietta, New York, United States",Diffinity Genomics is a biotechnology company that develops DNA testing products for the life science industry.,,877-362-1812,http://diffinitygenomics.com,,2,Seed,"$678,260",2012-03-29,Seed,"$1,358,459","Biotechnology, Health Care, Science and Engineering",Private
Phage Technologies S.A,https://www.crunchbase.com/organization/phage-technologies-s-a,"Biotechnology, Consulting, Enterprise Software","Santiago, Region Metropolitana, Chile","Phage Technologies SA was founded in 2009 from three Engineers interested in Biotechnology, University Andrés Bello by applying scientific",contacto@pht.cl,+56 29790748,http://pht.cl,,1,Seed,"$40,000",2012-07-17,Seed,"$40,000","Biotechnology, Science and Engineering, Software",Private
PlexPress,https://www.crunchbase.com/organization/plexpress,"Analytics, Biotechnology, Genetics","Helsinki, Southern Finland, Finland",PlexPress offers a high-content gene expression analysis platform that supports bioprocess applications.,order@plexpressbio.com,(908) 235 1407,http://www.plexpress.fi,For Profit,1,Seed,"$2,500,000",2009-05-18,Seed,"$2,500,000","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
MelStevia Inc,https://www.crunchbase.com/organization/melstevia,"Biotechnology, Diabetes","Asheville, North Carolina, United States",MelStevia is a U.S.A.-based company developing natural and organic functional food products.,belloc@melstevia.com,,http://www.melstevia.com,,2,Seed,"$50,000",2013-04-30,Seed,"$75,000","Biotechnology, Health Care, Science and Engineering",Private
Nano Defense Solutions,https://www.crunchbase.com/organization/nano-defense-solutions,"Biotechnology, Nanotechnology","Florida, United States, North America",Our products are durable nanotechnology agents that have antimicrobial and anti corrosive properties,,(904) 638-4280,http://nanodefensesolutions.com/,For Profit,1,Seed,"$300,000",2014-09-25,Seed,"$300,000","Biotechnology, Science and Engineering",Private
OcuSciences,https://www.crunchbase.com/organization/ocusciences,"Biotechnology, Health Diagnostics, Medical Device","Ann Arbor, Michigan, United States","OcuSciences is developing a technique, flavoprotein fluorescence (FPF), and device to detect and monitor retinal metabolic dysfunction.",info@ocusciences.com,734-657-4756,http://ocusciences.com/,For Profit,1,Seed,"$250,000",2009-05-01,Seed,"$250,000","Biotechnology, Health Care, Science and Engineering",Private
BioExx Specialty Proteins,https://www.crunchbase.com/organization/bioexx-specialty-proteins,"Biotechnology, Food Processing, Wellness","Toronto, Ontario, Canada","BioExx is the first company to develop and commercialize Canola/Rapeseed protein, a novel protein resource that is functional and",dbalke@bioexx.com,,,,5,Seed,"$2,284,354",2011-07-15,Seed,"$9,721,294","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
Brite Health,https://www.crunchbase.com/organization/brite-health,"Artificial Intelligence, Biotechnology, Data Visualization, Health Care","Palo Alto, California, United States",Brite Health is an AI platform for drug development.,info@britehealth.co,,http://britehealth.co/,For Profit,2,Seed,,2016-12-15,Seed,,"Artificial Intelligence, Biotechnology, Data and Analytics, Design, Health Care, Information Technology, Science and Engineering, Software",Private
Soricimed,https://www.crunchbase.com/organization/soricimed,"Biopharma, Biotechnology, Health Diagnostics","Moncton, New Brunswick, Canada",Soricimed Biopharma operates as a clinical-stage drug and diagnostic development company.,info@soricimed.com,506-872-2181,http://soricimed.com,,1,Seed,"$109,000",2011-10-18,Seed,"$109,000","Biotechnology, Health Care, Science and Engineering",Private
Cubresa,https://www.crunchbase.com/organization/cubresa,Biotechnology,"Winnipeg, Manitoba, Canada","Cubresa provides planar gamma and SPECT imaging solutions for the diagnostic, surgical and pre-clinical imaging marketplace.",jschellenberg@cubresa.com,204-272-2409,http://cubresa.ca,,1,Seed,"$500,000",2013-07-01,Seed,"$500,000","Biotechnology, Science and Engineering",Private
 xMD Diagnostics ,https://www.crunchbase.com/organization/xmd-diagnostics,Biotechnology,"Annapolis, Maryland, United States",xMD Diagnostics operates in the healthcare industry focusing on biotechnology business.,, 908-326-1340,,,1,Seed,"$100,000",2017-12-05,Seed,"$100,000","Biotechnology, Science and Engineering",Private
Aggrade,https://www.crunchbase.com/organization/aggrade,"Biotechnology, Medical, Pharmaceutical","Camberley, Surrey, United Kingdom",Aggrade is a specialist in formulating pharmaceutical drugs and nutraceutical products.,info@aggrade.co.uk,+447825378937,http://www.aggrade.co.uk/,For Profit,2,Seed,"€350,000",2016-10-28,Seed,"€350,000","Biotechnology, Health Care, Science and Engineering",Private
Tooth Bank,https://www.crunchbase.com/organization/tooth-bank,"Biotechnology, Dental, Health Care","Brownsburg, Indiana, United States","Tooth Bank, LLC operates in the health care industry. The company was incorporated in 2014 and is based in Brownsburg, Indiana.",,3175508457,http://www.toothbank.com,,1,Seed,"$200,000",2014-03-18,Seed,"$200,000","Biotechnology, Health Care, Science and Engineering",Private
Anviro Therapeutics,https://www.crunchbase.com/organization/anviro-therapeutics,"Biotechnology, Life Science, Pharmaceutical, Therapeutics","Orem, Utah, United States","Pharmaceutical, Biotech",info@AnviroTherapeutics.com,5593398222,http://Anvirotherapeutics.com,For Profit,1,Seed,"$650,000",2016-01-01,Seed,"$650,000","Biotechnology, Health Care, Science and Engineering",Private
SolAeroMed,https://www.crunchbase.com/organization/solaeromed,"Biotechnology, Pharmaceutical, Therapeutics","Calgary, Alberta, Canada",SolAeroMed is engaged in the development of novel therapeutic strategies for the treatment of obstructive lung diseases.,info@solaeromed.com,403-969-7999,http://solaeromed.com,,4,Seed,,2016-09-01,Seed,"$101,035","Biotechnology, Health Care, Science and Engineering",Private
im3D,https://www.crunchbase.com/organization/im3d,Biotechnology,"Torino, Piemonte, Italy",IM3D provides stereoscopic 3D services to the motion picture industry.,info@i-m3d.com,39 011 19508773,http://www.i-m3d.com,,1,Seed,"€2,000,000",2013-07-01,Seed,"€2,000,000","Biotechnology, Science and Engineering",Private
Augmi Labs,https://www.crunchbase.com/organization/augmi-labs,"Aerospace, Biotechnology","Boston, Massachusetts, United States","AugMI (Augmented Medical Intelligence) Labs, Inc. is an American medical device company.",info@augmilabs.com,,http://www.augmilabs.com,For Profit,1,Seed,"$40,000",2013-02-14,Seed,"$40,000","Biotechnology, Science and Engineering",Private
Pattern Genomics,https://www.crunchbase.com/organization/pattern-genomics,"Biotechnology, Genetics","Madison, Connecticut, United States","Pattern Genomics develops Daydreamer, a software platform that enables simultaneous pattern analysis of DNA sequences and molecular assay.",inquiries@patterngenomics.com,203-533-9362,http://patterngenomics.com,For Profit,1,Seed,"$150,000",2013-03-21,Seed,"$150,000","Biotechnology, Health Care, Science and Engineering",Private
CarePoint Solutions,https://www.crunchbase.com/organization/carepoint-solutions,"Biotechnology, Health Care, Medical","Clinton, Massachusetts, United States","Care Point Solutions develops EZ-EP23, a web application that simplifies and streamlines EP-23 implementation.",,508-517-6849,http://carepointsolutions.com,,1,Seed,"$214,448",2012-07-13,Seed,"$214,448","Biotechnology, Health Care, Science and Engineering",Private
Cellay,https://www.crunchbase.com/organization/cellay,"Biotechnology, Manufacturing, Medical","Cambridge, Massachusetts, United States",Cellay manufactures and markets Same Day OligoFISH® Probes as analyte specific reagents (ASRs) for chromosome enumeration.,sales@cellayinc.com,6174927921,http://cellayinc.com,,1,Seed,"$1,000,000",2009-06-30,Seed,"$1,000,000","Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
Just Relief Wellness Pvt Ltd,https://www.crunchbase.com/organization/amit-goel,"Biotechnology, Health Care, Pharmaceutical, Wellness","Noida, Uttar Pradesh, India",Justrelief is an online pharmacy and healthcare services network which enables users to buy prescribed medicine.,amit.goel@justrelief.com,,http://www.justrelief.com,For Profit,1,Seed,,2016-04-09,Seed,,"Biotechnology, Health Care, Science and Engineering",Private
Medichanical Engineering,https://www.crunchbase.com/organization/medichanical-engineering,Biotechnology,"Aalborg, Nordjylland, Denmark",Medichanical Engineering Aps engages in the development of X-pander,info@medichanical.com,+45 31 11 17 31,http://www.medichanical.com/,,2,Seed,"DKK3,550,000",2013-08-29,Seed,"DKK3,550,000","Biotechnology, Science and Engineering",Private
PolyGroup Ltd,https://www.crunchbase.com/organization/polygroup-ltd,"Biotechnology, Chemical","New Albany, Indiana, United States","Poly Group, LLC develops a biocompatible antimicrobial co-polymer.",info@polygroupllc.net,(812)590-4750,http://www.polygroupllc.net/,For Profit,1,Seed,"$125,625",2016-12-08,Seed,"$125,625","Biotechnology, Science and Engineering",Private
Apofore,https://www.crunchbase.com/organization/apofore,"Biotechnology, Diabetes, Therapeutics","Cambridge, Massachusetts, United States",Apofore is a developer of novel therapeutics for diabetes.,info@apofore.com,6094303922,http://apofore.com,,1,Seed,"$500,000",2011-08-01,Seed,"$500,000","Biotechnology, Health Care, Science and Engineering",Private
Vinomis Laboratories,https://www.crunchbase.com/organization/vinomis-laboratories,"Biotechnology, Manufacturing, Medical Device","Sewickley, Pennsylvania, United States","Vinomis Laboratories manufactures nutraceutical products based on resveratrol, red wine grape extracts, and concentrated polyphenols.",info@vinomis.co,877-484-6664,http://vinomis.com,,2,Seed,"$393,363",2013-06-11,Seed,"$600,613","Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
Gene Solutions,https://www.crunchbase.com/organization/gene-solutions,"Biotechnology, Genetics","Charlottesville, Virginia, United States",Gene Solutions conducts therapeutic drug discovery research for central nervous system diseases using mitochondrial genomic targets.,investment@mitodna.com,781-281-2706,http://www.mitodna.com,,1,Seed,"$639,800",2015-10-02,Seed,"$639,800","Biotechnology, Health Care, Science and Engineering",Private
Skuldtech,https://www.crunchbase.com/organization/skuldtech,"Biotechnology, Health Diagnostics","Delta, Ontario, Canada",Skuldtech innovates diagnostics associated with new treatments for cancer and neurodegenerative and infectious diseases.,info@skuldtech.com,33 (0)467 419 748,http://skuldtech.com,,1,Seed,"€1,000,000",2013-09-11,Seed,"€1,000,000","Biotechnology, Health Care, Science and Engineering",Private
"NUProtein Co., Ltd.",https://www.crunchbase.com/organization/nuprotein-co-ltd-2,"Biopharma, Biotechnology","Nagoya, Aichi, Japan","Protein synthesis in a day, not a year. We developed cell free protein synthesis reagents from small scale to large biodrug production.",contact@nuprotein.jp,,https://nuprotein.jp/en,,1,Seed,"$120,000",2017-09-01,Seed,"$120,000","Biotechnology, Health Care, Science and Engineering",Private
Mediaomics,https://www.crunchbase.com/organization/mediaomics,Biotechnology,"Caparica, Setubal, Portugal",MediaOmics is a pioneer company in cell functional enviromics (CFE).,info@mediaomics.pt,,http://www.mediaomics.pt/,For Profit,1,Seed,"€410,000",2013-07-10,Seed,"€410,000","Biotechnology, Science and Engineering",Private
CymoGen Dx,https://www.crunchbase.com/organization/cymogen-dx,"Biotechnology, Genetics, Health Diagnostics","New Windsor, New York, United States",CymoGen Dx is a genomic diagnostic company engaged in the development and application of fluorescence-based DNA detection technologies.,sales@cymogendx.com,845-220-4020,http://cymogendx.com,,1,M&A,"$350,161",2010-07-07,Seed,"$350,161","Biotechnology, Health Care, Science and Engineering",Private
Confluence Discovery Technologies,https://www.crunchbase.com/organization/confluence-discovery-technologies,Biotechnology,"St Louis, Missouri, United States","Confluence is a contract research organization providing mechanistic enzymology, target validation, characterization, and more.",CDTinfo@confluencestl.com,(314) 932-4032 x 305,http://www.confluencediscovery.com,,1,Seed,"$75,000",2011-01-01,Seed,"$75,000","Biotechnology, Science and Engineering",Private
Yummy Food,https://www.crunchbase.com/organization/yummy-food,"Biotechnology, Events, Nutrition","Prague, Hlavni mesto Praha, Czech Republic",Yummy helps busy people to find the way of healthier eating habits and save time during working hours.,,,http://yummyfood.cz/,For Profit,1,Seed,"$10,000",2013-03-11,Seed,"$10,000","Biotechnology, Events, Health Care, Media and Entertainment, Science and Engineering",Private
GlyGenix Therapeutics,https://www.crunchbase.com/organization/glygenix-therapeutics,Biotechnology,"Woodbridge, Connecticut, United States","GlyGenix Therapeutics, Inc. develops therapeutic products for the treatment of cure metabolic disorders. The company manufactures and",info@glygenix.com,2033975821,http://glygenixtherapeutics.com,,1,Seed,"$150,000",2014-03-17,Seed,"$150,000","Biotechnology, Science and Engineering",Private
Altermune Technologies,https://www.crunchbase.com/organization/altermune-technologies,Biotechnology,"Irvine, California, United States","Altermune Technologies develops therapeutics to combat resistant pathogens such as MRSA, C. difficile, pseudomonas, and pandemic influenza.",,,,,1,Seed,"$7,000,000",2011-09-22,Seed,"$7,000,000","Biotechnology, Science and Engineering",Private
Radix Health,https://www.crunchbase.com/organization/radix-health,"Biotechnology, Health Care, Medical","Marietta, Georgia, United States",Radix Health improves patient access by optimizing capacity utilization.,info@radixhealth.com,(678) 487-9653,http://radixhealth.com,For Profit,1,Seed,,2016-01-24,Seed,,"Biotechnology, Health Care, Science and Engineering",Private
Chatham Therapeutics,https://www.crunchbase.com/organization/chatham-therapeutics,"Biotechnology, Medical","Chapel Hill, North Carolina, United States",Chatham Therapeutics is engaged in the development of gene-based therapy technologies focused on hemophilia.,,,,,1,M&A,"$201,000",2011-11-10,Seed,"$201,000","Biotechnology, Health Care, Science and Engineering",Private
InnoVital Systems,https://www.crunchbase.com/organization/innovital-systems,"Biotechnology, Health Care, Medical","Beltsville, Maryland, United States",InnoVital Systems focuses on innovation to advance healthcare by collaborating with clinical and research institutions.,info@innovitalsystems.com,2407900605,http://innovitalsystems.com,,1,Seed,"$25,000",2013-07-11,Seed,"$25,000","Biotechnology, Health Care, Science and Engineering",Private
Fitscript,https://www.crunchbase.com/organization/fitscript,"Biotechnology, Diabetes, Fitness, Health Care","New Haven, Connecticut, United States",Fitness prescriptions for diabetes management based on real-time glucose levels,charles.oconnell@fitscript.com,203.677.0969,http://www.fitscript.com,,1,Seed,,2014-10-28,Seed,,"Biotechnology, Health Care, Science and Engineering, Sports",Private
Matricore,https://www.crunchbase.com/organization/matricore,Biotechnology,"Geleen, Limburg, The Netherlands",The Modular Approach to Tissue Engineering,support@transip.nl,+31 (0) 71 - 524 19 19,http://matricore.org,For Profit,1,Seed,"€15,000",2015-04-13,Seed,"€15,000","Biotechnology, Science and Engineering",Private
Eira Biotech,https://www.crunchbase.com/organization/eira-biotech,"Biotechnology, Health Care, Nanotechnology","Melbourne, Victoria, Australia",Eira Biotech is a Melbourne-based biomedical company that focuses on applying recent developments in nanotechnology.,info@eirabiotech.com,,http://www.eirabiotech.com/,For Profit,1,Seed,"$20,000",2015-05-18,Seed,"$20,000","Biotechnology, Health Care, Science and Engineering",Private
Sidero Bioscience,https://www.crunchbase.com/organization/sidero-bioscience,Biotechnology,"Hershey, Pennsylvania, United States",Sidero Bioscience operates in the healthcare industry focusing on biotechnology business.,,,https://www.siderobio.com/,,1,Seed,"$145,000",2016-10-13,Seed,"$145,000","Biotechnology, Science and Engineering",Private
Biocroi,https://www.crunchbase.com/organization/biocroi,"Biotechnology, Health Care, Medical, Nanotechnology","Dublin, Dublin, Ireland",Development of Tools for Drug Discovery.,info@advancedmicroplates.com,353 1 896 1874,http://www.advancedmicroplates.com,For Profit,1,Seed,"€800,000",2011-10-06,Seed,"€800,000","Biotechnology, Health Care, Science and Engineering",Private
Beacon Biomedical,https://www.crunchbase.com/organization/beacon-biomedical,"Biotechnology, Health Care, Health Diagnostics","Arizona City, Arizona, United States","Easy, Accurate & Affordable Cancer Screening.",info@beaconbiomedical.com,1(480)628-2796,http://www.beaconbiomedical.com/,For Profit,1,Seed,"$25,000",2016-06-14,Seed,"$25,000","Biotechnology, Health Care, Science and Engineering",Private
BioMoti,https://www.crunchbase.com/organization/biomoti,"Biotechnology, Medical, Therapeutics","London, England, United Kingdom",BioMoti seeks to transform the treatment of cancer by targeted delivery of therapeutics to the intracellular space of cancer cells,,,http://www.biomoti.com,,1,Seed,"£75,000",2013-02-18,Seed,"£75,000","Biotechnology, Health Care, Science and Engineering",Private
Nimbus Concepts,https://www.crunchbase.com/organization/nimbus-concepts,"Biotechnology, Health Care, Wellness","Austin, Texas, United States",Nimbus Concepts develops and markets intellectual property and novel device technology in the field of radiofrequency tissue ablation.,info@nimbusconcepts.com,303-689-2300,http://nimbusconcepts.com,,1,Seed,"$142,500",2011-12-07,Seed,"$142,500","Biotechnology, Health Care, Science and Engineering",Private
BiovelocITA,https://www.crunchbase.com/organization/biovelocita,"Biopharma, Biotechnology, Life Science","Milano, Lombardia, Italy",BiovelocITA si dedica alla “accelerazione” di progetti in stadio precoce,info@biovelocita.com,+390248196154,http://www.biovelocita.com/,For Profit,1,Seed,"€800,000",2016-05-09,Seed,"€800,000","Biotechnology, Health Care, Science and Engineering",Private
Sugarlogix,https://www.crunchbase.com/organization/sugarlogix,"Biotechnology, Consumer Goods, Food and Beverage, Health Care","Berkeley, California, United States",Sugarlogix is creating prebiotic sugars with functional benefits for your gut health.,contact@sugarlogix.com,415-854-2154,https://www.sugarlogix.com/,For Profit,1,Seed,,2017-05-03,Seed,,"Biotechnology, Consumer Goods, Food and Beverage, Health Care, Science and Engineering",Private
MycoWorks,https://www.crunchbase.com/organization/mycoworks,Biotechnology,"San Francisco, California, United States",They create sustainable design solutions with advanced biomaterials.,info@mycoworks.com,,http://www.mycoworks.com/,,1,Seed,,2016-02-26,Seed,,"Biotechnology, Science and Engineering",Private
Newcells Biotech,https://www.crunchbase.com/organization/newcells-biotech,"Biotechnology, Health Care, Therapeutics","Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Newcells Biotech are experts in the production of induced pluripotent stem cells.,,+44 (0)191 241 8695,http://www.newcellsbiotech.co.uk/,For Profit,1,Seed,"£153,479",2015-08-17,Seed,"£153,479","Biotechnology, Health Care, Science and Engineering",Private
Attention Point,https://www.crunchbase.com/organization/attention-point,"Biotechnology, Health Care, Life Science","Roanoke, Virginia, United States",Attention Point is a health-based IT company providing web-based assessment tools for clinicians to diagnose behavioral health patients.,,504-345-4343,http://www.attentionpoint.com,,1,Seed,"$25,000",2012-11-13,Seed,"$25,000","Biotechnology, Health Care, Science and Engineering",Private
Selexagen Therapeutics,https://www.crunchbase.com/organization/selexagen-therapeutics,"Biotechnology, Medical, Pharmaceutical","San Diego, California, United States",Selexagen Therapeutics operates as a pharmaceutical company that develops targeted therapies for cancer.,info@selexagen.com,,http://selexagen.com,,1,Seed,"$597,387",2011-08-01,Seed,"$597,387","Biotechnology, Health Care, Science and Engineering",Private
BioDetego,https://www.crunchbase.com/organization/biodetego,Biotechnology,"Philadelphia, Pennsylvania, United States","BioDetego is developing, VASPfore, a new biomarker test for selecting cancer treatment protocols.",,,https://www.biodetego.com/,For Profit,2,Seed,,2014-05-12,Seed,"$50,000","Biotechnology, Science and Engineering",Private
KCAS,https://www.crunchbase.com/organization/kcas,"Biotechnology, Pharmaceutical","Shawnee, Kansas, United States","KCAS is a provider of bioanalytical research services for pharmaceutical, biotech, animal health, and medical device companies.",,(913)248-3000,http://www.kcasbio.com,For Profit,1,Seed,"$250,000",2010-12-01,Seed,"$250,000","Biotechnology, Health Care, Science and Engineering",Private
IGXBio,https://www.crunchbase.com/organization/igxbio,"Biotechnology, Health Care, Information Technology","Lenexa, Kansas, United States","IGXBio, Inc. is a biotechnology company developing advanced DNA immunotherapies for HIV infection.",info@igxbio.com,(888)744-9246,http://www.igxbio.com/,For Profit,1,Seed,"$470,000",2010-12-31,Seed,"$470,000","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
Sciadonics,https://www.crunchbase.com/organization/sciadonics,Biotechnology,"Wayzata, Minnesota, United States",A Biotech Comapny.,customerservice@sciadonics.com,(612) 516 -5787,https://www.sciadonics.com/,,1,Seed,"$100,000",2017-04-12,Seed,"$100,000","Biotechnology, Science and Engineering",Private
IPM Safety Services,https://www.crunchbase.com/organization/ipm-safety-services,"Biotechnology, Medical Device, Pharmaceutical","Wayne, Pennsylvania, United States","IPM Safety Services provides pharmaceutical, biotechnology, and medical device companies with a full range of pharmacovigilance services.",,,,,1,Seed,"$1,000,000",2013-04-26,Seed,"$1,000,000","Biotechnology, Health Care, Science and Engineering",Private
Sun Genomics,https://www.crunchbase.com/organization/sun-genomics,"Biotechnology, Health Care, Medical","San Diego, California, United States",Sun Genomics is a microbiome health company focused on curing dysbiosis through personalized probiotics.,,,https://sungenomics.com/,,1,Seed,,2017-12-06,Seed,,"Biotechnology, Health Care, Science and Engineering",Private
Altenera Technology,https://www.crunchbase.com/organization/altenera-technology,"Biotechnology, Consumer, Retail","Bethesda, Maryland, United States","Altenera Technology, Inc., located in Bethesda, has a goal to provide innovative alternatives to resolve some of the challenges common to",,(240) 643-2834,http://altenera.com,For Profit,1,Seed,"$100,000",2013-07-01,Seed,"$100,000","Biotechnology, Commerce and Shopping, Science and Engineering",Private
Comprehensive Care,https://www.crunchbase.com/organization/comprehensive-care,"Biotechnology, Health Care, Medical","Tampa, Florida, United States",Comprehensive Care is a specialty healthcare company focusing on behavioral health services and medical care to improve lives of people.,info@compcare.com,787-522-4400,http://compcare.com,,1,Seed,"$1,800,000",2011-09-14,Seed,"$1,800,000","Biotechnology, Health Care, Science and Engineering",Private
Miraculex,https://www.crunchbase.com/organization/miraculex,"Biotechnology, Food and Beverage, Nutrition","San Francisco, California, United States","Miraculex is developing the first healthy, protein sweeteners.",info@miraculex.com,,http://www.miraculex.com/,For Profit,2,Seed,,2017-01-20,Seed,,"Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
CytoSolv,https://www.crunchbase.com/organization/cytosolv,Biotechnology,"Tiverton, Rhode Island, United States",CytoSolv develops technology for the treatment of diabetic ulcers and other wounds.,,,,,1,M&A,"$500,000",2010-02-09,Seed,"$500,000","Biotechnology, Science and Engineering",Private
TeraFold Biologics Inc.,https://www.crunchbase.com/organization/terafold-biologics-inc,Biotechnology,"San Francisco, California, United States","TeraFold Biologics is developing an integrated computational platform for discovery, modeling, and pre-clinical validation of alternative",,4157389266,http://www.terafold.com,,1,Seed,"$40,000",2013-03-13,Seed,"$40,000","Biotechnology, Science and Engineering",Private
New Battery,https://www.crunchbase.com/organization/new-battery,Biotechnology,"Palo Alto, California, United States",We set up the goal to create batteries that do not require recharging.,,,,For Profit,1,Seed,"$500,000",2015-11-27,Seed,"$500,000","Biotechnology, Science and Engineering",Private
Harvest Labs,https://www.crunchbase.com/organization/harvest-labs,"Biotechnology, Health Care, Health Diagnostics","Crowley, Louisiana, United States",Harvest Labs is a full-service urine toxicology laboratory that provides drug testing results to its physician partners.,info@harvest-labs.com,(337) 376-2999,https://harvest-labs.com,For Profit,1,Seed,"$150,030",2015-08-26,Seed,"$150,030","Biotechnology, Health Care, Science and Engineering",Private
GlucoSentient,https://www.crunchbase.com/organization/glucosentient,"Biotechnology, Health Care, Medical","Champaign, Illinois, United States","GlucoSentient, a healthcare technology company, develops a personal glucose meter that allows diabetics to detect food contaminants.",,312-404-3507,http://glucosentient.com/,,2,Seed,"$60,000",2012-11-24,Seed,"$60,000","Biotechnology, Health Care, Science and Engineering",Private
Senior Wellness Solutions,https://www.crunchbase.com/organization/senior-wellness-solutions,"Biotechnology, Health Care, Wellness","Miami Beach, Florida, United States",Senior Wellness Solutions provides technology-based solutions for the early detection of chronic diseases and for streamlining patient care.,info@seniorwellness365.com,305-297-1878,http://seniorwellness365.com,,2,Seed,"$172,442",2012-10-02,Seed,"$435,775","Biotechnology, Health Care, Science and Engineering",Private
Treat U,https://www.crunchbase.com/organization/treat-u,Biotechnology,"Coimbrã, Leiria, Portugal",Development of targeted nanotechnology-based platforms,info@treatu.pt,351 23 980 0360,http://treatu.pt/,For Profit,1,Seed,"€760,000",2013-07-25,Seed,"€760,000","Biotechnology, Science and Engineering",Private
Health eVillages,https://www.crunchbase.com/organization/health-evillage,Biotechnology,"Reading, Massachusetts, United States","Health eVillages provides mobile health technology, including medical reference and clinical decision support for medical professionals.",info@healthevillages.org,224-209-6495,http://healthevillages.org,,1,Seed,"$58,000",2013-08-27,Seed,"$58,000","Biotechnology, Science and Engineering",Private
Admetsys,https://www.crunchbase.com/organization/admetsys,"Biotechnology, Medical Device","Boston, New York, United States","For people at diabetic risk, glucose control is at its most crucial while in hospital or surgery.",,,http://www.admetsys.com/,For Profit,2,Seed,,2016-03-15,Seed,,"Biotechnology, Health Care, Science and Engineering",Private
Hormones & Me,https://www.crunchbase.com/organization/endotech-solutions,"Biotechnology, Health Care, Medical","Austin, Texas, United States",Hormoens and Me is your one stop source for all current information pertinent to Hormone Replacement Therapy (HRT).,jobby@hormonesandme.com,(512)608-9355,https://hormonesandme.com/,For Profit,1,Seed,"$100,000",2016-01-05,Seed,"$100,000","Biotechnology, Health Care, Science and Engineering",Private
Max Endoscopy,https://www.crunchbase.com/organization/max-endoscopy,"Biotechnology, Medical Device","Macedonia, Ohio, United States",Max Endoscopy is a medical device company.,,330-425-7041,http://www.maxendoscopy.com,,3,Seed,"$135,000",2010-10-27,Seed,"$385,000","Biotechnology, Health Care, Science and Engineering",Private
MARIPOSA BIOTECHNOLOGY,https://www.crunchbase.com/organization/mariposa-biotechnology,"Biotechnology, Medical, Medical Device","Irvine, California, United States",Mariposa Biotechnology develops automated instruments for in vitro fertilization and other cell-based therapies.,mjones@mariposabiotech.com,9494920650,http://mariposabiotech.com,,1,Seed,"$2,427,823",2013-06-18,Seed,"$2,427,823","Biotechnology, Health Care, Science and Engineering",Private
Pinnacle Spine,https://www.crunchbase.com/organization/pinnacle-spine,"Biotechnology, Finance, Medical","Dallas, Texas, United States",Pinnacle Spine Group develops spinal products that can be used in surgical procedures of the spine.,info@pinnaclespinegroup.com, 214.466.1428,http://pinnaclespinegroup.com,,1,Seed,"$250,000",2011-11-14,Seed,"$250,000","Biotechnology, Financial Services, Health Care, Science and Engineering",Private
Keller Medical,https://www.crunchbase.com/organization/keller-medical,"Biotechnology, Manufacturing, Medical Device","Stuart, Florida, United States","In 2009, the introduction of the original Keller Funnel™ refined the art of augmentation procedures.",,772-219-9993,http://kellerfunnel.com,,1,Seed,"$400,000",2009-03-23,Seed,"$400,000","Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
BioMedFlex,https://www.crunchbase.com/organization/biomedflex,"Biotechnology, Medical, Medical Device","Denver, North Carolina, United States","BioMedFlex - Spine, LLC provides hard carbon film coatings for medical applications. Its products are used in applications, such as spine,",grupp@biomedflex.com,704-616-0167,http://biomedflex.com,,1,Seed,"$250,000",2009-11-06,Seed,"$250,000","Biotechnology, Health Care, Science and Engineering",Private
Nestegg Biotech,https://www.crunchbase.com/organization/nestegg,"3D Printing, Biotechnology","Geleen, Limburg, The Netherlands",Nestegg Biotech leverages 3D printing and mechanical engineering for new solutions in the biomedical field.,timg@nesteggbiotech.com,+31423020167,http://nesteggbiotech.com,For Profit,1,Seed,"€15,000",2015-03-31,Seed,"€15,000","Biotechnology, Manufacturing, Science and Engineering",Private
Therabiol,https://www.crunchbase.com/organization/therabiol,"Biotechnology, Health Care, Therapeutics","San Francisco, California, United States","Therabiol engages in the development of immune therapies for the prevention, treatment and cure of persistent viral infections.",,4155645020,http://therabiol.com,,1,Seed,"$150,000",2012-10-15,Seed,"$150,000","Biotechnology, Health Care, Science and Engineering",Private
Sentieon,https://www.crunchbase.com/organization/sentieon,"Bioinformatics, Biotechnology, Consumer","Mountain View, California, United States",Enable Precision Data for Precision Medicine,info@sentieon.com,(650) 282-5650,http://www.sentieon.com/,,1,Seed,,2015-08-01,Seed,,"Biotechnology, Data and Analytics, Science and Engineering",Private
