Organization Name,Organization Name URL,Categories,Category Groups,Description,Website,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,IPO Status
"Clerio Vision, Inc.",https://www.crunchbase.com/organization/clerio-vision,"Biotechnology, Medical","Biotechnology, Health Care, Science and Engineering",Perfecting the Sense of Sight.,http://www.cleriovision.com/,6,Late Stage Venture,"$750,000 ",9/15/17,Grant,"$14,715,027 ",Private
Spiber,https://www.crunchbase.com/organization/spiber,"Advanced Materials, Biotechnology, Life Science","Biotechnology, Manufacturing, Science and Engineering",Spiber Inc. is a Japanese biomaterials company engaged in the research of synthetic spider silk and other protein-based materials.,http://www.spiber.jp/en,7,Late Stage Venture,"$20,000,000 ",10/1/16,Grant,"$148,090,000 ",Private
Sanofi Pasteur,https://www.crunchbase.com/organization/sanofi-pasteur,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Sanofi Pasteur SA develops, manufactures, and supplies vaccines in France and internationally.",http://www.sanofipasteur.com,1,,"$43,200,000 ",9/27/16,Grant,"$43,200,000 ",Private
Gamida Cell,https://www.crunchbase.com/organization/gamida-cell,"Biotechnology, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering","Gamida Cell develops stem cell therapy technologies and products for the treatment of blood cancers, autoimmune and metabolic diseases.",http://www.gamida-cell.com,9,Late Stage Venture,"$3,500,000 ",7/20/17,Grant,"$97,753,820 ",Private
Kymab,https://www.crunchbase.com/organization/kymab,"Biotechnology, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering",Kymab is engaged in the discovery and development of human monoclonal antibody therapeutics.,http://www.kymab.com,5,Late Stage Venture,"$9,000,000 ",1/10/17,Grant,"$229,400,000 ",Private
Karuna Pharmaceuticals,https://www.crunchbase.com/organization/karuna-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Karuna Pharmaceuticals is a Massachusetts-based developer of drugs for the treatment of schizophrenia.,http://karunapharma.com,2,,"$8,000,000 ",6/19/18,Grant,"$8,600,000 ",Private
PhaseBio Pharmaceuticals,https://www.crunchbase.com/organization/phasebio-pharmaceuticals,"Biotechnology, Medical, Medical Device, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","PhaseBio is a clinical-stage biopharmaceutical company developing drugs for cardiovascular diseases, endocrine and metabolic disorders.",http://www.phasebio.com,9,Late Stage Venture,"$2,800,000 ",2/27/18,Grant,"$114,000,000 ",Private
Metabolomic Diagnostics,https://www.crunchbase.com/organization/metabolomic-diagnostics,"Biotechnology, Health Care, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",Metabolomic Diagnostics is commercialising a diagnostic assay that predicts preeclampsia in pregnancy.,http://metabolomicdiagnostics.com,7,,"€2,000,000",5/16/18,Grant,"€5,850,000",Private
Profusa,https://www.crunchbase.com/organization/profusa,"Biotechnology, Health Care, Medical, Medical Device, Wellness","Biotechnology, Health Care, Science and Engineering",PROFUSA is a medical devices company creating tissue-integrated sensors for chronic disease management and healthy living.,http://profusacorp.com,5,Early Stage Venture,"$7,500,000 ",7/12/16,Grant,"$35,918,821 ",Private
Agendia,https://www.crunchbase.com/organization/agendia,"Biotechnology, Genetics, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering",Agendia provides molecular diagnostics and personalized treatment plans for cancer patients.,http://www.agendia.com,8,Private Equity,"€4,048,407",7/1/15,Grant,"$147,340,522 ",Private
Gecko Biomedical,https://www.crunchbase.com/organization/gecko-biomedical,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Gecko Biomedical develops biodegradable sealants and adhesives for wound closure in the field of minimally-invasive surgery.,http://geckobiomedical.com,5,Early Stage Venture,"€6,000,000",1/24/18,Grant,"€39,200,000",Private
Green City Solutions GmbH,https://www.crunchbase.com/organization/green-city-solutions-gmbh,"Architecture, Biotechnology, Clean Energy, CleanTech, Environmental Engineering, Internet of Things, Renewable Energy, Sustainability","Biotechnology, Energy, Internet Services, Real Estate, Science and Engineering, Sustainability",Green City Solutions GmbH addresses the global problem of air pollution by combining a installed moss culture with IoT technology. ,https://greencitysolutions.de/,4,Seed,"€50,000",6/1/17,Grant,"$81,064 ",Private
SolveBio,https://www.crunchbase.com/organization/solvebio,"Biotechnology, Genetics, Health Diagnostics","Biotechnology, Health Care, Science and Engineering","SolveBio deploys technology and on-demand expertise to drive precision medicine. We monitor, gather, and secure Genomic Intelligence.",http://www.solvebio.com,3,Seed,"$1,497,112 ",1/8/18,Grant,"$3,497,112 ",Private
Cincinnati Zoo Foundation,https://www.crunchbase.com/organization/cincinnati-zoo-foundation,"Biotechnology, Life Science","Biotechnology, Science and Engineering",Zagat survey ranked the world famous Cincinnati Zoo the #1 attraction in Cincinnati and one of the top zoos in the nation.,http://cincinnatizoo.org,1,,"$50,000,000 ",6/7/18,Grant,"$50,000,000 ",Private
MeMed,https://www.crunchbase.com/organization/memed,"Biotechnology, Health Care, Health Diagnostics, Medical","Biotechnology, Health Care, Science and Engineering",MeMed Diagnostics is a personalized diagnostics company.,http://www.me-med.com,5,Late Stage Venture,"$4,079,159 ",2/7/18,Grant,"$7,198,638 ",Private
Genomic Expression,https://www.crunchbase.com/organization/genomic-expression,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Genomic Expression’s technology takes the guesswork out of the process of developing personal diagnostics.,http://genomicexpression.com,4,,"DKK27,000,000",1/3/18,Grant,"$8,324,486 ",Private
The Jackson Laboratory,https://www.crunchbase.com/organization/the-jackson-laboratory,"Biotechnology, Genetics, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",The Jackson Laboratory conducts mammalian genetics research offering scientific services and resources to laboratories and students.,http://www.jax.org,7,,"$12,500,000 ",2/6/18,Grant,"$91,729,933 ",Private
CSATS,https://www.crunchbase.com/organization/csats,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",C-SATS is a performance management system for evaluating and improving technique.,http://www.csats.com/,3,M&A,"$3,283,516 ",8/9/16,Grant,"$6,533,516 ",Private
CellPly,https://www.crunchbase.com/organization/cellply,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Cellply is a biomedical company focused on the development of near-patient diagnostic systems.,http://cellply.com,3,Seed,"€2,340,000",5/25/18,Grant,"€4,390,000",Private
Vaxess Technologies,https://www.crunchbase.com/organization/vaxess-technologies,"Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering",Vaxess Technologies is a life sciences company that develops technologies for encapsulating and stabilizing biological compounds.,http://www.vaxess.com,12,Early Stage Venture,"$1,500,000 ",12/14/17,Grant,"$15,527,857 ",Private
METAFORA biosystems,https://www.crunchbase.com/organization/metafora-biosystems,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering","METAFORA biosystems is a biotechnology company developing the use of RBDs, innovative and unmatched ligands of nutrient transporters.",http://www.metafora-biosystems.com/en/,2,,"€3,200,000",6/11/18,Grant,"€3,250,000",Private
Cellerant Therapeutics,https://www.crunchbase.com/organization/cellerant-therapeutics,"Biotechnology, Clinical Trials, Therapeutics","Biotechnology, Health Care, Science and Engineering",Cellerant Therapeutics is a biotechnology company offering products for the regulation of the hematopoietic system.,http://www.cellerant.com,12,,"$1,500,000 ",9/26/16,Grant,"$109,769,927 ",Private
Intact Genomics ,https://www.crunchbase.com/organization/intact-genomics,Biotechnology,"Biotechnology, Science and Engineering",Intact Genomics provides high-quality life science products and large DNA fragment cloning related services,https://www.intactgenomics.com/,1,,"$1,500,000 ",6/1/18,Grant,"$1,500,000 ",Private
Genesis DNA,https://www.crunchbase.com/organization/genesis-dna,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering","Genesis DNA is creating new technologies to make gene synthesis rapid, inexpensive, and sequence invariant.",http://www.genesisdna.com/,2,Seed,,11/1/15,Grant,"$250,000 ",Private
Motus Therapeutics,https://www.crunchbase.com/organization/rhythm-pharmaceuticals,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering",Motus Therapeutics is a biotechnology company developing peptide therapeutics for the treatment of metabolic diseases.,http://www.motustx.com/,8,M&A,"$1,000,000 ",9/24/15,Grant,"$95,900,000 ",Private
eTheRNA immunotherapies,https://www.crunchbase.com/organization/etherna,"Biotechnology, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering",eTheRNA develops immunotherapies that target the fundamental role of dendritic cells in the human immune system.,http://www.etherna.be/,2,Early Stage Venture,"€1,000,000",9/25/17,Grant,"€25,000,000",Private
TENSIVE,https://www.crunchbase.com/organization/tensive,"Biotechnology, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",Tensive is a biomedical startup established in 2012 to develop innovative prostheses aiming to substitute silicone implants.,http://www.tensivemed.com/,3,,"€2,690,000",5/31/18,Grant,"€4,740,000",Private
Sphere Fluidics,https://www.crunchbase.com/organization/sphere-fluidics,"Biotechnology, Life Science, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Sphere Fluidics develops products for use in single cell analysis and characterization, and provides associated collaborative R&D services.",http://www.spherefluidics.com,6,Late Stage Venture,"€1,600,000",11/27/17,Grant,"$15,004,627 ",Private
Synpromics Ltd,https://www.crunchbase.com/organization/synpromics-ltd,"Biotechnology, Genetics, Medical, Therapeutics","Biotechnology, Health Care, Science and Engineering",Synpromics develops and commercializes synthetic promoters to control gene expressions and regulations.,http://www.synpromics.com/,3,,"£1,900,000",5/4/18,Grant,"£9,200,000",Private
BioCellection,https://www.crunchbase.com/organization/biocellection,"Biotechnology, Recycling, Textiles, Waste Management","Biotechnology, Manufacturing, Science and Engineering, Sustainability",Putting chemistry to work for currently unrecyclable plastics.,http://www.biocellection.com/,3,Seed,"$150,000 ",4/30/16,Grant,"$800,000 ",Private
Adeo Health Science,https://www.crunchbase.com/organization/adeo-health-science,"Biotechnology, Health Care, Organic Food","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Organic foods with purpose.,https://adeohealth.com/,2,Seed,"$50,000 ",11/2/17,Grant,"$3,128,553 ",Private
Asceneuron,https://www.crunchbase.com/organization/asceneuron,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering",Asceneuron develops effective therapeutics for orphan tauopathies and Alzheimer’s disease.,http://asceneuron.com,2,Early Stage Venture,,10/6/16,Grant,"CHF30,000,000",Private
Oraya Therapeutics,https://www.crunchbase.com/organization/oraya-therapeutics,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Oraya Therapeutics develops non-invasive robotically-controlled treatments for inflammatory and neovascular diseases of the eye.,http://www.orayainc.com,7,Late Stage Venture,"$215,000 ",8/5/14,Grant,"$97,347,081 ",Private
ZYOMYX,https://www.crunchbase.com/organization/zyomyx-inc,"Biotechnology, Health Diagnostics, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Zyomyx develops and commercializes diagnostic platforms, including a point-of-care test for HIV/AIDS.",http://www.zyomyx.com,4,,"$7,500,000 ",3/26/14,Grant,"$34,275,015 ",Private
Cytox,https://www.crunchbase.com/organization/cytox,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering",Cytox have developed a simple genetic based blood test for the assessment of risk and diagnosis of Alzheimer's Disease.,http://cytoxgroup.com,6,,"£800,000",3/7/18,Grant,"£10,300,000",Private
Skipping Rocks Lab,https://www.crunchbase.com/organization/skipping-rocks-lab,"Biopharma, Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Skipping Rocks Lab is a London based startup that develops Ooho!, an edible water bottle.",http://skippingrockslab.com/,2,,"€50,000",12/1/17,Grant,"$1,121,137 ",Private
QUIBIM S.L.,https://www.crunchbase.com/organization/quibim,"Artificial Intelligence, Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Hospital, Pharmaceutical","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",YOUR PRECISION IMAGING COMPANY,http://www.quibim.com,5,Seed,"€1,254,225",9/1/17,Grant,"€2,233,825",Private
Biotherapeutics,https://www.crunchbase.com/organization/biotherapeutics,"Biotechnology, Clinical Trials, Health Diagnostics","Biotechnology, Health Care, Science and Engineering",BioTherapeutics Inc. (BTI) is a pre-clinical stage company,http://biotherapeuticsinc.com/,2,,"$800,000 ",6/21/17,Grant,"$800,000 ",Private
Puridify,https://www.crunchbase.com/organization/puridify,"Biotechnology, Industrial, Product Design","Biotechnology, Design, Science and Engineering",Puridify conducts research and development activities on bioprocessing technologies aimed at advancing industrial biomolecule manufacture.,http://www.puridify.com,3,M&A,"€50,000",8/1/16,Grant,"$4,869,085 ",Private
FluGen,https://www.crunchbase.com/organization/flugen,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",FluGen is a biopharmaceutical company specializing on the prevention and treatment of seasonal and pandemic influenza worldwide.,http://flugen.com,6,Early Stage Venture,"$14,400,000 ",10/18/17,Grant,"$37,829,192 ",Private
Univercells,https://www.crunchbase.com/organization/univercells,Biotechnology,"Biotechnology, Science and Engineering","Univercells is a One-stop-shop for high-density low-cost biomanufacturing ""end-to-end"" solutions",http://univercells.com/,4,Early Stage Venture,"€2,400,000",1/23/18,Grant,"$21,786,361 ",Private
Acticor Biotech,https://www.crunchbase.com/organization/acticor-biotech,"Biopharma, Biotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering",Acticor Biotech is a company a spin-off from INSERM,http://acticor-biotech.com/,5,,"€2,200,000",1/4/18,Grant,"€6,800,000",Private
J. Craig Venter Institute,https://www.crunchbase.com/organization/j-craig-venter-institute,"Biotechnology, Genetics, Health Care, Non Profit","Biotechnology, Health Care, Science and Engineering",J. Craig Venter Institute is a non-profit organization engaged in the research of genomics.,http://www.jcvi.org,2,,"$25,000,000 ",6/5/14,Grant,"$27,400,000 ",Private
Xip,https://www.crunchbase.com/organization/xip,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",Xip produces disposable blood analyzers that wirelessly upload lab-quality clinical measurements in minutes.,http://xip.life,6,Early Stage Venture,"$3,000,000 ",6/27/17,Grant,"$7,675,000 ",Private
SanBio,https://www.crunchbase.com/organization/sanbio,Biotechnology,"Biotechnology, Science and Engineering",SanBio is a regenerative medicine company,http://sanbio.com/,1,,"$20,000,000 ",7/5/17,Grant,"$20,000,000 ",Private
"AxoSim, Inc.",https://www.crunchbase.com/organization/axosim-technologies,"Biopharma, Biotechnology, Life Science, Medical, Neuroscience, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",AxoSim's Nerve-on-a-Chip is changing preclinical neurological safety and efficacy screening of pharmaceuticals,http://axosim.com/,5,Seed,"$1,770,000 ",9/14/17,Grant,"$2,450,000 ",Private
Isto Technologies,https://www.crunchbase.com/organization/isto-technologies,"Biotechnology, Information Technology, Medical Device","Biotechnology, Health Care, Information Technology, Science and Engineering",ISTO Technologies is an orthobiologics firm developing biologic products to regenerate and restore function to damaged cartilage and bone.,http://www.istotech.com,9,M&A,"$1,200,000 ",7/29/15,Grant,"$33,897,298 ",Private
PMD Solutions,https://www.crunchbase.com/organization/pmd-solutions,"Bioinformatics, Biotechnology, Health Care, Health Diagnostics, Internet of Things, Medical, Medical Device","Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering",PMD Solutions is a medical device company developing novel CE marked respiratory diagnostic wearables for the hospital and home market. ,http://www.pmd-solutions.com/,4,Early Stage Venture,"€4,265,610",4/1/16,Grant,"€9,637,610",Private
Antera Therapeutics,https://www.crunchbase.com/organization/antera-therapeutics,"Biotechnology, Health Care, Organic Food","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Antera is creating therapies that will prevent allergy development in children; our first product will focus on peanuts.,https://aralyte.com/,3,Seed,,11/1/16,Grant,"$2,284,751 ",Private
Mekonos Inc.,https://www.crunchbase.com/organization/mekonos-2,"Biotechnology, Nanotechnology, Robotics, Semiconductor","Biotechnology, Hardware, Science and Engineering, Software","We are a Silicon Valley chip technology startup aimed primarily toward cancer immunotherapy, gene engineering and drug development.",http://www.mekonos.com,7,,"$200,000 ",8/15/17,Grant,"$800,000 ",Private
Divergence,https://www.crunchbase.com/organization/divergence,"Agriculture, Biotechnology, Health Care","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Divergence is a research and development company dedicated to the discovery of strategies for the control of parasites and other pests.,http://www.divergence.com,5,M&A,"$1,200,000 ",4/17/09,Grant,"$21,500,000 ",Private
Direct Supply,https://www.crunchbase.com/organization/direct-supply,Biotechnology,"Biotechnology, Science and Engineering","The Direct Supply family of companies cares for every critical area of Senior Living, providing everything from equipment and eCommerce to",http://www.directsupply.com,1,,"$22,500,000 ",8/25/16,Grant,"$22,500,000 ",Private
MGB Biopharma,https://www.crunchbase.com/organization/mgb-biopharma,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",MGB Biopharma develops DNA minor groove binders-based anti-infective medicines.,http://www.mgb-biopharma.com,5,,"£2,780,000",3/21/18,Grant,"$16,692,988 ",Private
Cobra Biologics,https://www.crunchbase.com/organization/cobra-biologics,Biotechnology,"Biotechnology, Science and Engineering",Cobra Biologics is providing a biologics and pharmaceuticals service.,http://www.cobrabio.com,2,,,2/14/18,Grant,"£2,600,000",Private
PathoVax,https://www.crunchbase.com/organization/pathovax,Biotechnology,"Biotechnology, Science and Engineering",PathoVax is a biotech start-up from Johns Hopkins commercializing RGVax.,https://www.pathovax.com/,3,Seed,"$2,500,000 ",1/2/18,Grant,"$3,000,000 ",Private
Avectas,https://www.crunchbase.com/organization/avectas,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Avectas is a cell engineering technology company that enables drug developers to manufacture potent engineered cell therapies.,https://www.avectas.com/,1,,"€2,100,000",3/20/18,Grant,"€2,100,000",Private
Immatics US,https://www.crunchbase.com/organization/immatics-us,"Bioinformatics, Biopharma, Biotechnology","Biotechnology, Data and Analytics, Health Care, Science and Engineering","Immatics US, Inc. was launched in June 2015 by Immatics GmbH and the University of Texas MD Anderson Cancer Center",http://immatics.com/immatics-us-inc/,2,,"$40,300,000 ",9/2/15,Grant,"$60,000,000 ",Private
Ventria Bioscience,https://www.crunchbase.com/organization/ventria-bioscience,"Biotechnology, Manufacturing, Pharmaceutical","Biotechnology, Health Care, Manufacturing, Science and Engineering",Ventria Bioscience is a privately held biopharmaceutical company.,http://www.ventria.com/,2,,"$4,200,000 ",10/23/17,Grant,"$7,670,000 ",Private
THERAVECTYS,https://www.crunchbase.com/organization/theravectys,"Biopharma, Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering",THERAVECTYS develops a platform for the prevention and treatment of cancers and other infectious diseases and conditions.,http://www.theravectys.com,3,Late Stage Venture,"€1,900,000",1/26/15,Grant,"€24,080,000",Private
Audion Therapeutics,https://www.crunchbase.com/organization/audion-therapeutics,Biotechnology,"Biotechnology, Science and Engineering","It is a private biopharmaceutical company dedicated to the discovery, development and commercialization of drugs and delivery technologies",http://www.audiontherapeutics.com/,2,,"€5,800,000",9/8/15,Grant,"€8,300,000",Private
CustoMem,https://www.crunchbase.com/organization/customem,"Biotechnology, Life Science, Medical, Water","Biotechnology, Health Care, Natural Resources, Science and Engineering",CustoMem develops biologically derived materials for industrial water treatment.,https://customem.com/,4,,"€1,400,000",2/6/18,Grant,"$1,914,875 ",Private
Aelix Therapeutics,https://www.crunchbase.com/organization/aelix-therapeutics,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","AELIX Therapeutics, a drug development company specialized in the discovery and development of immunotherapies for HIV infection",http://www.aelixtherapeutics.com/,2,Early Stage Venture,"€50,000",6/19/17,Grant,"€11,550,000",Private
"Valerion Therapeutics, LLC",https://www.crunchbase.com/organization/valerion-therapeutics-llc,"Biotechnology, Genetics, Pharmaceutical, Therapeutics","Biotechnology, Health Care, Science and Engineering",Valerion Therapeutics develops therapies for orphan genetic muscle diseases utilizing a novel antibody-based targeting system.,http://valerion.com,2,Early Stage Venture,"$1,195,762 ",5/30/13,Grant,"$21,195,762 ",Private
Complix,https://www.crunchbase.com/organization/complix,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","Complix is a biopharmaceutical company developing Alphabodies, a novel class of biopharmaceuticals.",http://www.complix.com,4,Early Stage Venture,"€500,000",12/14/17,Grant,"$25,169,985 ",Private
Profectus Biosciences,https://www.crunchbase.com/organization/profectus-biosciences,"Analytics, Biotechnology, EHR, Health Care, Health Diagnostics","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Profectus Biosciences is a R&D company developing vaccine and small molecules to treat and prevent viral diseases and cancers.,http://www.profectusbiosciences.com,7,,"$4,600,000 ",12/9/15,Grant,"$34,671,206 ",Private
Circulomics Inc,https://www.crunchbase.com/organization/circulomics-inc,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering",Circulomics Inc is a biotechnology company that uses micro- and nanotechnologies to streamline genomics research and clinical diagnostics.,http://www.circulomics.com,9,,"$1,500,000 ",9/15/17,Grant,"$7,100,000 ",Private
Arkansas Children's Hospital,https://www.crunchbase.com/organization/arkansas-childrens-hospital,"Biotechnology, Hospital, Medical","Biotechnology, Health Care, Science and Engineering","Arkansas Children’s Hospital is a pediatric medical center in Little Rock, Arkansas, serving children from birth to age twenty-one.",http://archildrens.org,1,,"$3,500,000 ",9/20/13,Grant,"$3,500,000 ",Private
Woodoo,https://www.crunchbase.com/organization/woodoo,"Advanced Materials, Agriculture, Biotechnology, Wood Processing","Agriculture and Farming, Biotechnology, Manufacturing, Science and Engineering",Engineering the next generation of high-performance wood materials.,http://woodoo.fr/,1,,"$1,500,000 ",6/15/17,Grant,"$1,500,000 ",Private
Homebiogas,https://www.crunchbase.com/organization/homebiogas,"Biomass Energy, Biotechnology, Energy","Biotechnology, Energy, Natural Resources, Science and Engineering, Sustainability",Homebiogas is anaerobic digesters that convert kitchen waste and animal manure into cooking gas and liquid fertilizer.,http://www.homebiogas.com/,2,,"€1,604,750",8/1/17,Grant,"€1,654,750",Private
Batavia Biosciences,https://www.crunchbase.com/organization/batavia-biosciences,"Biotechnology, Genetics","Biotechnology, Health Care, Science and Engineering",Batavia Biosciences focuses on accelerating the transition of biopharmaceutical product,http://www.bataviabiosciences.com/,1,,"$8,000,000 ",9/24/16,Grant,"$8,000,000 ",Private
Semprus BioSciences,https://www.crunchbase.com/organization/semprus-biosciences,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Semprus BioSciences is a venture-backed biomedical company developing medical devices implementing the Semprus technology.,http://www.semprusbio.com,3,M&A,"$1,000,000 ",10/19/11,Grant,"$27,000,000 ",Private
Aqueduct Critical Care,https://www.crunchbase.com/organization/aqueduct-critical-care,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Aqueduct Critical Care addresses the critical care problem of managing inter-cranial pressure.,http://www.aqueductneurosciences.com/,4,,,5/1/17,Grant,"$6,779,481 ",Private
Massachusetts Life Sciences Center,https://www.crunchbase.com/organization/massachusetts-life-sciences-center,"Biotechnology, Government","Biotechnology, Government and Military, Science and Engineering",The Massachusetts Life Sciences Center (MLSC) aims to create jobs in the life sciences and support vital scientific research.,http://www.masslifesciences.com,1,,"$3,400,000 ",2/23/11,Grant,"$3,400,000 ",Private
Aldatu Biosciences,https://www.crunchbase.com/organization/aldatu-biosciences,Biotechnology,"Biotechnology, Science and Engineering",Aldatu Biosciences is changing infectious disease treatment paradigms through innovative diagnostic solutions.,http://www.aldatubio.com,5,,"$200,000 ",6/28/17,Grant,"$4,800,000 ",Private
NovaDigm Therapeutics,https://www.crunchbase.com/organization/novadigm-therapeutics,"Biotechnology, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering",NovaDigm Therapeutics develops vaccines that protect patients from contracting fungal and bacterial infections.,http://www.novadigm.net,7,Early Stage Venture,"$6,000,000 ",6/2/17,Grant,"$64,673,274 ",Private
Apogenix,https://www.crunchbase.com/organization/apogenix,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Apogenix is a biopharmaceutical company developing novel protein therapeutics for the treatment of cancer and inflammatory diseases.,http://apogenix.com,2,Late Stage Venture,"€3,000,000",2/16/16,Grant,"$13,342,819 ",Private
Genis,https://www.crunchbase.com/organization/genis,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Genis is a privately held biotechnology company located in Iceland.,http://www.genis.is/,5,,"€50,000",3/1/17,Grant,"$1,160,395 ",Private
Aenitis Technologies,https://www.crunchbase.com/organization/aenitis-technologies,"Biotechnology, Health Care, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",Aenitis Technologies is a French start-up resulting from the work of Mauricio HOYOS,http://www.aenitis.fr/,4,,"€3,951,479",2/1/18,Grant,"€8,001,479",Private
Yaqrit,https://www.crunchbase.com/organization/yaqrit,"Biotechnology, Life Science, Medical, Medical Device, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Yaqrit Limited is a UK-based company specialising in interventions in liver disease based on 20 years of research and development at UCL.,http://yaqrit.com/,4,Seed,"€6,400,000",12/1/16,Grant,"$17,853,787 ",Private
Domainex,https://www.crunchbase.com/organization/domainex,Biotechnology,"Biotechnology, Science and Engineering",A fully integrated drug discovery service company.,http://www.domainex.co.uk,4,Early Stage Venture,"£118,000",1/23/18,Grant,"$5,646,068 ",Private
Cell Cure Neurosciences,https://www.crunchbase.com/organization/cell-cure-neurosciences,Biotechnology,"Biotechnology, Science and Engineering","Cell Cure Neurosciences offers cell therapies for retinal and neural degenerative diseases, such as OpRegen™, a retinal therapeutic program.",http://cellcureneurosciences.com,3,,"$1,600,000 ",5/13/15,Grant,"$4,840,000 ",Private
KeyNatura,https://www.crunchbase.com/organization/keynatura,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",KeyNatura offers extraction of active substances from algae to produce active and stable astaxanthin products with extensive shelf life.,http://keynatura.com/,4,Seed,"€50,000",8/1/16,Grant,"$2,632,481 ",Private
Tetragenetics,https://www.crunchbase.com/organization/tetragenetics,"Biopharma, Biotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering",Tetragenetics helps people seeking a cost-effective alternative platform technology for the production of genetically engineered proteins.,http://www.tetragenetics.com,5,,"$1,540,000 ",1/14/16,Grant,"$5,344,730 ",Private
Galenea,https://www.crunchbase.com/organization/galenea,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering",Galenea is engaged in developing therapeutics for central nervous system diseases.,http://www.galenea.com,3,,"$3,000,000 ",9/6/12,Grant,"$13,500,000 ",Private
Signum Biosciences,https://www.crunchbase.com/organization/signum-biosciences,"Biotechnology, Life Science, Therapeutics","Biotechnology, Health Care, Science and Engineering",Signum Biosciences develops small molecule therapeutics derived from its STM platform to modulate signal transduction imbalances.,http://www.signumbiosciences.com,3,,"$1,600,000 ",11/15/13,Grant,"$5,600,000 ",Private
